approach,,,,root_scalar,root_scalar,root_scalar,root_scalar,root_scalar,root_scalar,root_scalar,minimize,minimize,minimize,minimize,minimize,minimize,minimize,minimize_scalar,minimize_scalar,minimize_scalar,root,root
method,,,,bisect,brentq,brenth,ridder,toms748,secant,newton,L-BFGS-B,BFGS,TNC,SLSQP,Nelder-Mead,Powell,COBYLA,Brent,Bounded,Golden,hybr,lm
n,ndraw,idx,bound,,,,,,,,,,,,,,,,,,,
"(1,)",5,4,lb,-1.7114914953708649,-1.7115832849634145,-1.711552659993144,-1.7116102746602475,-1.7115602798906435,-1.7115602758376105,-1.711560278984714,-46.41160930043841,-2.155041719685594,-1.7125684296465216,-2.0188550886377183,-60.04266082726932,-1.7115602798906393,-1.6700105729971653,-1.71156028017368,-52786.40343510736,-1.7115602825865293,-1.7115602798927954,-1.7115602798906395
"(1,)",5,4,ub,2.790149301290512,2.790162946243354,2.7901792940173387,2.790129960150564,2.790179970293237,2.7901799525075406,2.7901799582184426,2.7895302352555187,2.7889926600277968,2.790273087544624,2.908619619985876,2.79018357707605,2.7901799582184594,2.7902277099954125,2.790179957108141,23606.79810360216,2.7901799479150835,2.7901799628217723,2.7901799582184497
"(2, 2, 2)",1,0,lb,-3.962498158216477,-3.962452337610373,-3.962459422886623,-3.962456059130076,-3.96245234386019,-3.962452343822481,-3.9624523438596895,-1433.161661680677,-8717.78258396516,-3.189908946178778,-817.9069311065485,-101.0663620596718,-3.962452343859688,-4.018637913310789,-3.962452327020377,-52786.40343510736,-3.962452347792391,-16.109420037884867,-3.81990957764357
"(2, 2, 2)",1,0,ub,6.712879985570908,6.712936389965384,6.712937148803289,6.712986378903547,6.7129363946290255,6.712936394008739,6.712936394346347,6.677658633067448,6.403413479872982,6.713774521442676,6.035311360556984,6.72862966382738,6.712936394293712,6.712721404059649,6.712936404065875,23606.79810360216,6.7129363748686846,6.712936394347243,6.71293639434594
"(2, 2, 2)",1,1,lb,-2.856459468603134,-2.8563902527246965,-2.856370832914877,-2.856406290557737,-2.8563906078676604,-2.856390281104094,-2.856390419125396,-2642.0077053096443,-4424.160623318141,-2.6360903635083024,-412.9519225654841,-24.009907397089123,-2.8563904195464533,-2.888732777186878,-2.856390422125641,-52786.40343510736,-2.8563904179808404,-2.8582747259881507,-2.8563903525996124
"(2, 2, 2)",1,1,ub,3.3820979297161102,3.3821167489695103,3.382114113953129,3.382063176369769,3.3821131333687777,3.382113130180932,3.3821131301940137,3.3605533506980643,7.800140226264942,3.3818409844540924,7.271291502513685,3.328420260569338,3.382113130142081,3.38225752809292,3.382113136660798,23606.79810360216,3.382113130306122,3.3821131302078777,3.3821131301935847
"(2, 2, 2)",1,2,lb,-90678.95216867328,-90678.94614638956,-90678.94348185684,-90678.95242427124,-90678.95262992715,-90678.9502325739,-26491.42423292976,-52485.80402958062,-62196.227395121605,-144.94119888630118,-582.2569355848073,7.8371204252743425,-90678.9436114447,-17.688869457461088,-90678.9561447543,-90678.95188817762,-90678.95114158368,-64976.43726929054,-912.1415166090468
"(2, 2, 2)",1,2,ub,-622.3061122000217,-622.3060204321278,-622.3060203516338,-622.3059708035048,-622.3060200976681,-622.3060200583591,-538.3239431365345,-13.847665161179442,-0.9284891578474828,-607.0991177918347,-0.8776535383610898,-11.82049204819733,-622.3060204091926,-1.1793272910063548,-622.3060206664696,23606.79810360216,-622.3060189484529,-622.3060204484098,-36.01405876365918
"(2, 2, 2)",1,3,lb,-17.221178859472275,-17.221251915577817,-17.221251535797833,-17.221203443174435,-17.22125157475171,-17.22125155926898,-17.221251574751903,-5610.936630144233,-10477.58975781469,-8.668611654677868,-893.4883392738104,-17.17674715155922,-17.221251574751875,-17.23371847983251,-17.22125149185804,-52786.40343510736,-17.22125163803151,-93.15519547156129,-15.171323763159256
"(2, 2, 2)",1,3,ub,0.9027309715747832,0.9027565023143914,0.9027581934969464,0.9027116175898904,0.9027603208468662,0.9027601828212116,0.902760320846487,0.9023301439094809,1.862009093253378,0.9026425322838256,1.6979275706294852,32.14445045969545,0.9027603208242024,0.9028322409184052,0.9027603207929648,23606.79810360216,0.9027603215010408,0.9027603208464944,0.9027603208464936
"(2, 2, 2)",1,4,lb,-3.8533471524715424,-3.853386067453804,-3.853379860998442,-3.8533302228919872,-3.853379968691156,-3.853379835441322,-3.853379968593915,-2799.53714315242,-13928.126224707114,-5.830686016314078,-1349.1913066836942,-9.50521229156104,-3.853379968588959,-3.859398468831808,-3.853379967602083,-52786.40343510736,-3.853379972824412,-15.429930528186365,-3.6767424116307454
"(2, 2, 2)",1,4,ub,2.1976418793201447,2.197711134727104,2.197698156231625,2.197748160377388,2.1976981620335216,2.1976981598292107,2.1976981610526227,2.194697165138233,2.1170979844082662,2.195644692222011,2.037767556540273,2.190864027595528,2.197698161040205,2.197790393516428,2.197698165214581,23606.79810360216,2.197698156573264,2.1976981605876857,2.197698161052625
"(2, 2, 2)",1,5,lb,-137.22917065024376,-137.22915880684369,-137.22917756732298,-137.22912757067292,-137.22917756738968,-137.22917756736874,-137.22860027257445,-11503.945955710044,-14581.667882399874,-30.317429507647816,-409.150252767176,-136.6602960364176,-137.2291775671885,-113.55428929502052,-137.22917755617328,-52786.40343510736,-137.22917730008032,-1426.6347631656236,-99.65043308730156
"(2, 2, 2)",1,5,ub,0.7375143468379974,0.7375984272347913,0.7375979757861446,0.7375492048677418,0.7375978062651405,0.7375978060848172,0.7375978060803025,0.7416898798847238,1.6784938490251502,0.7402536275996492,1.124456561609667,0.6728676925124075,0.7375978060528363,0.7376184286493883,0.7375978066260196,23606.79810360216,0.7375978073167805,0.737597806080356,0.7375978060803542
