idx,lb,ub,approach,method,dtime,n,apval_err
0,1.279918714421953,2.6771062768656817,root,hybr,0.06160426139831543,5,9.849759896596311e-14
1,-8.253987529637364,102.75519204284694,root,hybr,0.06160426139831543,5,3.2326225030132605e-13
2,-29.520610146864882,0.3992258349946685,root,hybr,0.06160426139831543,5,3.226585665316861e-16
3,-138.084818931007,-0.2179308405101063,root,hybr,0.06160426139831543,5,6.918077222195507e-15
4,-17.607731970814957,2.7150013013409677,root,hybr,0.06160426139831543,5,3.482110433328245e-13
0,1.279918714421166,2.6771062768656817,root,lm,0.05673789978027344,5,1.3183898417423734e-16
1,-8.253987529581455,102.75519204282811,root,lm,0.05673789978027344,5,2.5673907444456745e-16
2,-29.520610146866844,0.3992258349946713,root,lm,0.05673789978027344,5,5.818262538426211e-15
3,-138.08481893103072,-0.21793084051014142,root,lm,0.05673789978027344,5,1.7975204658071675e-14
4,-17.607731970776026,2.7150013013452883,root,lm,0.05673789978027344,5,2.6749435999562365e-15
0,1.2799187144147368,2.6771064674583247,root_scalar,toms748,0.3058891296386719,5,3.48918763881656e-08
1,-8.253987546118234,102.75519204573428,root_scalar,toms748,0.3058891296386719,5,9.399431233347855e-11
2,-29.520610157248,0.3992258350829045,root_scalar,toms748,0.3058891296386719,5,3.661177958025341e-11
3,-138.08481893102032,-0.21793084051008338,root_scalar,toms748,0.3058891296386719,5,5.960509863456309e-15
4,-17.607731970775404,2.715001301345394,root_scalar,toms748,0.3058891296386719,5,5.9847959921199845e-15
0,1.2799188420027467,2.6771062754517123,root_scalar,secant,0.0758810043334961,5,1.6227986666256244e-08
1,-8.253987529473598,102.75519204282244,root_scalar,secant,0.0758810043334961,5,6.019074128005286e-13
2,-29.520610146090974,0.3992257968395993,root_scalar,secant,0.0758810043334961,5,1.6846174698270655e-09
3,-138.0848189300801,-0.21793086380506324,root_scalar,secant,0.0758810043334961,5,3.4013256794418467e-10
4,-17.607731970680373,2.715001109205551,root_scalar,secant,0.0758810043334961,5,6.926233669934945e-09
0,1.2799187212091998,2.677106276832908,root_scalar,newton,0.11975812911987305,5,8.556443678586767e-10
1,-8.253987529141847,102.7551920428089,root_scalar,newton,0.11975812911987305,5,2.446921137932989e-12
2,-29.520610146866844,0.3992258343875553,root_scalar,newton,0.11975812911987305,5,2.6772008221431776e-11
3,-138.08481893103072,-0.21793084051036005,root_scalar,newton,0.11975812911987305,5,2.0105445086571194e-14
4,-17.60773197045141,2.7150013013050454,root_scalar,newton,0.11975812911987305,5,3.034593409889652e-12
0,1.279918648514538,2.6771063076967616,minimize_scalar,Brent,0.18803620338439941,5,1.3893531342762389e-08
1,-8.253987908443376,102.75519677898122,minimize_scalar,Brent,0.18803620338439941,5,6.333344501618932e-09
2,-29.52060867953489,0.39922578755881016,minimize_scalar,Brent,0.18803620338439941,5,6.716157827796332e-09
3,-138.08483137102206,-0.21793085563183953,minimize_scalar,Brent,0.18803620338439941,5,8.54943209629977e-09
4,-17.607733088548247,2.71500137491738,minimize_scalar,Brent,0.18803620338439941,5,8.106075748137709e-09
0,1.2799186348907998,2.677106241831468,minimize_scalar,Golden,0.39870715141296387,5,1.6368240329106554e-08
1,-8.253985669926037,102.75518149283565,minimize_scalar,Golden,0.39870715141296387,5,1.9721745587314432e-08
2,-29.520607023644807,0.39922560240527505,minimize_scalar,Golden,0.39870715141296387,5,2.0098307535604265e-08
3,-138.08480370793148,-0.21793011935663703,minimize_scalar,Golden,0.39870715141296387,5,2.0702266002176062e-08
4,-17.607729851820885,2.715001009613869,minimize_scalar,Golden,0.39870715141296387,5,2.0854972929140736e-08
0,1.2799188924946396,2.677120687484424,root_scalar,brenth,0.24766278266906738,5,2.660270613359661e-06
1,-8.253987984271676,102.75519940768959,root_scalar,brenth,0.24766278266906738,5,9.10541998050407e-09
2,-29.5206076348547,0.3992032556372635,root_scalar,brenth,0.24766278266906738,5,1.0034044837584077e-06
3,-138.08483792091187,-0.21793084122498987,root_scalar,brenth,0.24766278266906738,5,1.27248945928915e-08
