samp,x1,x2,cdf,idx,shape,approach,dtime,pval
16,2.789370391106721,-2.619987133373306,0.0004813,"(749,)","(1000,)",cox2,0.006596803665161133,0.0
16,2.789370391106721,-2.619987133373306,0.0004813,"(749,)","(1000,)",owen,0.0007801055908203125,0.0004753201681257403
16,2.789370391106721,-2.619987133373306,0.0004813,"(749,)","(1000,)",drezner1,0.22068572044372559,0.0004514489741461944
16,2.789370391106721,-2.619987133373306,0.0004813,"(749,)","(1000,)",drezner2,0.21776294708251953,0.000468568992475403
17,0.48815763835536496,-0.5255781169064861,0.4086884,"(767,)","(1000,)",scipy,0.2586941719055176,0.40879476547241406
17,0.48815763835536496,-0.5255781169064861,0.4086884,"(767,)","(1000,)",cox1,0.48697996139526367,0.4090676335443083
17,0.48815763835536496,-0.5255781169064861,0.4086884,"(767,)","(1000,)",cox2,0.006596803665161133,0.41110917852338347
17,0.48815763835536496,-0.5255781169064861,0.4086884,"(767,)","(1000,)",owen,0.0007801055908203125,0.40879476547241417
17,0.48815763835536496,-0.5255781169064861,0.4086884,"(767,)","(1000,)",drezner1,0.22068572044372559,0.4087947653745424
17,0.48815763835536496,-0.5255781169064861,0.4086884,"(767,)","(1000,)",drezner2,0.21776294708251953,0.40879476547246485
18,-1.5277533942273172,1.6003216419376325,0.1593172,"(847,)","(1000,)",scipy,0.2586941719055176,0.1594604388793649
18,-1.5277533942273172,1.6003216419376325,0.1593172,"(847,)","(1000,)",cox1,0.48697996139526367,0.15773526183960807
18,-1.5277533942273172,1.6003216419376325,0.1593172,"(847,)","(1000,)",cox2,0.006596803665161133,0.1590407993767451
18,-1.5277533942273172,1.6003216419376325,0.1593172,"(847,)","(1000,)",owen,0.0007801055908203125,0.15946043887936495
18,-1.5277533942273172,1.6003216419376325,0.1593172,"(847,)","(1000,)",drezner1,0.22068572044372559,0.15946043891562534
18,-1.5277533942273172,1.6003216419376325,0.1593172,"(847,)","(1000,)",drezner2,0.21776294708251953,0.15946043887937733
19,0.79686997619726,0.42166729217984783,0.4054867,"(905,)","(1000,)",scipy,0.2586941719055176,0.40525167984383414
19,0.79686997619726,0.42166729217984783,0.4054867,"(905,)","(1000,)",cox1,0.48697996139526367,0.40523571668567127
19,0.79686997619726,0.42166729217984783,0.4054867,"(905,)","(1000,)",cox2,0.006596803665161133,0.40523271533148075
19,0.79686997619726,0.42166729217984783,0.4054867,"(905,)","(1000,)",owen,0.0007801055908203125,0.40525167984383414
